Nombre,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
RET_MUJ_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_SI_01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí
TRA_HOM_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_SI_01,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No
TRA_SI_02,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
TRA_SI_TO,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No
SI_HOM_01,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_02,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_03,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_04,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_05,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_06,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No
SI_HOM_07,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_08,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No
SI_HOM_TO,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_01,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_02,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_03,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_04,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí
SI_MUJ_05,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí
SI_MUJ_06,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No
SI_MUJ_07,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_08,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No
SI_MUJ_TO,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
PROM_ASIS_APR_HOM,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_APR_MUJ,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_APR_SI,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí
PROM_ASIS_APR,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_REP_HOM,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_REP_MUJ,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_REP_SI,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No
PROM_ASIS_REP,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
